90000 100
64190 81506 716
55366 70209 660
16502 23590 534
55147 61394 670
15641 55330 335
61483 68008 43
73031 89749 84
18533 78104 706
15422 28890 536
21945 86731 763
32751 89764 156
86106 88887 232
37350 73600 111
12006 80749 749
8407 30241 658
71455 78522 660
10123 31077 665
15528 28234 211
54064 77584 202
66727 76573 260
10909 41945 669
86596 89378 483
64067 80044 166
2609 37894 38
60948 80498 683
81900 85533 822
75985 77451 895
14122 87401 915
9541 11000 166
9786 53801 639
64598 77905 428
63126 87241 38
5161 79632 208
83290 88244 376
12407 39293 246
43951 45038 425
39390 69218 996
11568 15141 352
35619 46795 340
8976 69876 47
70844 87329 207
55187 89482 27
87725 89534 226
17805 25762 268
43388 75480 428
6131 34258 603
81614 84873 535
25544 77499 177
64848 71043 186
36208 57782 515
8645 54960 966
31849 51943 107
54169 87270 896
46918 64882 324
83541 89528 631
55913 74682 633
78433 87506 789
47197 85923 986
36929 79796 781
28868 52486 103
7494 21945 493
60192 79240 47
26237 46485 977
14859 62178 12
14849 81455 848
16688 42531 859
13824 64463 624
46692 49344 170
84197 88287 675
82079 87343 871
81589 81777 47
65196 83742 707
81369 85131 50
29232 70806 502
9190 37031 562
68826 81738 200
21482 66555 857
88223 88290 121
89719 89897 666
8624 36658 983
36695 89987 157
77475 78341 175
56421 64849 605
2527 38898 108
61470 85012 658
63355 81267 186
10182 58541 828
53227 79548 300
14556 15677 645
19777 63162 514
70602 84640 608
24613 86218 970
70584 73557 980
62237 85596 190
87778 89353 61
79361 84428 916
9236 48484 31
32109 60375 791
12002 73554 293
22275 51533 395
