100 100000
57 92 180
80 91 734
32 67 240
14 24 283
4 48 864
92 92 677
83 93 576
15 16 451
22 76 501
99 99 259
14 94 123
94 95 730
5 45 481
34 80 965
1 27 681
19 95 545
21 66 494
78 93 486
49 60 576
58 94 584
86 94 440
35 78 71
51 91 555
17 44 446
65 66 111
25 63 362
29 60 117
86 98 13
31 47 603
91 93 47
71 96 432
66 83 497
22 97 470
99 99 578
63 84 84
42 51 369
4 26 789
18 71 661
69 93 220
39 74 547
94 98 696
5 42 550
17 94 607
92 97 659
74 88 371
49 69 194
62 71 858
24 46 455
8 65 71
100 100 445
32 57 572
66 72 673
66 83 834
87 99 649
15 68 258
32 33 840
80 80 720
85 99 253
23 63 237
35 73 578
87 89 619
6 17 756
52 57 504
21 64 478
51 82 457
51 60 160
89 91 220
36 79 98
33 46 450
60 63 29
74 76 670
87 90 800
92 92 798
98 100 179
97 100 116
49 74 822
11 68 414
77 96 725
23 98 76
27 48 516
37 93 230
19 85 110
49 93 609
12 59 167
70 83 255
53 77 236
99 100 899
49 49 638
73 99 254
55 82 845
81 88 825
42 95 626
57 83 826
4 98 199
13 44 101
19 90 689
57 97 65
51 99 550
76 83 386
33 65 114
51 92 470
40 89 707
4 29 366
17 40 295
97 99 703
46 79 566
25 62 784
25 36 633
73 76 913
39 97 666
79 79 817
44 93 190
30 71 186
37 97 234
37 85 28
56 100 364
10 47 551
97 100 347
85 93 287
7 28 979
35 40 798
99 100 155
11 22 581
50 67 898
55 98 562
71 74 319
74 90 376
49 52 698
2 93 457
25 38 401
11 32 330
57 72 835
50 100 983
4 25 324
24 76 412
65 67 980
6 8 525
58 63 794
51 96 183
27 34 512
20 81 283
57 63 337
67 71 944
75 85 215
88 99 449
8 96 89
73 95 770
92 95 708
12 76 376
38 54 643
59 92 456
58 75 624
46 57 428
29 52 137
18 100 241
55 97 343
52 66 260
49 97 740
66 95 523
40 69 242
32 37 698
37 87 126
100 100 231
49 69 518
91 98 834
13 39 700
69 69 273
52 92 120
31 52 506
86 90 957
84 92 217
14 77 53
37 96 37
17 95 285
48 59 787
19 53 606
51 56 415
48 49 208
52 54 189
24 42 801
63 69 784
85 98 555
53 85 921
53 69 358
66 80 553
21 45 507
44 63 48
42 78 762
40 73 431
94 100 21
100 100 184
4 26 838
20 37 969
6 56 705
68 94 831
71 75 248
99 100 69
8 97 441
100 100 973
94 96 400
66 76 377
90 91 784
91 98 119
93 96 781
60 90 797
3 5 815
27 99 240
100 100 691
5 67 914
20 85 654
60 60 493
30 42 371
80 88 224
72 86 912
