80 100000
16 79 709
54 71 683
19 43 203
69 78 446
22 40 726
53 61 566
3 31 958
78 79 181
12 64 312
31 32 318
13 58 666
6 45 541
63 73 297
4 4 347
21 73 857
15 70 878
35 76 450
56 72 252
24 38 329
19 78 185
8 48 164
56 80 977
35 56 377
61 68 446
52 78 53
72 77 214
60 76 376
22 77 584
60 68 636
38 52 160
29 65 522
13 43 202
48 57 586
37 39 5
13 26 765
64 79 422
15 45 352
13 66 977
65 78 284
47 57 176
30 60 181
3 52 361
50 77 747
10 22 609
67 79 426
39 60 257
76 77 967
77 77 46
16 78 591
36 70 313
32 57 485
9 16 913
79 80 762
12 75 329
20 72 988
52 66 591
31 51 611
19 40 402
56 63 908
28 52 78
43 55 754
46 53 785
23 72 691
19 47 591
23 54 561
39 63 473
71 79 120
23 27 208
62 74 663
24 50 718
76 80 334
44 49 641
6 14 776
44 67 995
29 73 764
39 67 305
24 26 523
42 56 464
72 72 318
56 58 392
64 79 589
40 49 49
29 58 246
22 36 338
57 80 851
45 61 458
2 69 863
7 67 668
9 16 178
25 73 571
37 58 535
34 35 691
57 77 756
58 66 212
77 77 997
38 64 14
75 78 993
73 75 1
62 70 146
26 61 421
69 75 139
35 52 641
25 33 612
28 45 958
62 64 332
46 63 744
7 53 316
61 73 577
14 37 559
44 49 285
46 53 535
52 67 692
10 53 834
34 44 785
51 66 684
35 56 544
75 77 515
34 70 490
30 79 803
59 79 830
12 61 350
63 71 416
14 61 168
30 50 597
63 78 10
45 70 830
28 40 643
34 63 887
80 80 575
67 78 654
16 17 453
25 77 968
76 78 914
51 61 745
41 48 907
5 51 796
47 69 634
37 57 902
80 80 200
68 71 405
42 43 883
16 57 575
52 74 108
59 68 771
41 71 128
64 78 914
11 13 581
16 50 473
74 78 290
38 42 823
34 75 900
10 77 295
68 77 975
36 40 708
80 80 829
63 80 706
50 76 571
36 49 142
64 70 759
25 51 805
69 79 674
53 57 281
52 65 10
33 50 503
40 78 248
20 67 236
61 76 298
57 58 177
28 71 241
70 73 436
18 57 533
49 71 85
32 59 513
16 40 519
22 51 385
22 64 918
42 59 992
33 65 827
61 63 310
49 60 874
24 24 303
77 79 557
11 40 78
12 42 468
7 78 762
26 41 921
64 64 350
6 21 313
58 65 834
74 75 798
44 80 646
42 52 715
27 51 877
61 79 893
3 34 252
31 49 488
3 34 13
66 76 89
17 21 819
3 8 788
72 73 344
14 62 386
48 54 992
40 49 518
11 19 713
25 27 908
45 78 560
6 65 658
4 75 645
1 10 897
73 75 301
49 51 731
45 71 172
20 30 28
15 55 846
41 62 638
25 37 95
34 48 955
61 76 137
16 37 494
42 70 409
7 52 333
15 26 993
67 76 883
14 28 896
33 51 215
11 76 900
7 45 70
74 77 554
76 80 313
4 11 221
64 79 287
21 26 162
74 79 233
9 79 648
57 71 957
71 71 726
59 80 673
71 78 787
72 79 9
49 53 35
74 79 23
6 66 937
25 80 763
31 66 407
14 25 787
10 13 794
49 79 808
38 45 265
71 72 728
60 76 915
62 67 132
60 71 361
80 80 47
27 67 869
32 45 705
54 73 1000
21 62 626
74 77 681
69 78 19
5 59 63
35 67 535
19 54 396
69 80 652
23 44 45
15 77 144
65 80 152
7 40 549
13 28 82
34 80 626
73 76 232
44 76 715
58 62 479
29 63 301
49 73 278
26 77 639
50 54 384
27 37 82
19 21 189
16 19 375
47 67 548
29 76 534
61 79 89
78 79 245
13 43 56
42 71 246
27 78 619
9 56 440
19 39 309
44 61 488
54 79 597
76 78 421
67 75 458
29 63 930
27 73 426
38 59 863
27 63 728
13 56 609
34 48 355
14 40 489
63 78 297
41 42 379
39 49 736
19 48 882
70 72 755
29 46 200
77 77 873
46 60 394
72 72 240
42 66 882
2 11 880
47 67 12
15 63 859
63 75 439
49 57 978
38 79 733
8 11 431
9 72 143
76 79 487
48 70 106
58 66 58
7 79 960
69 80 797
47 65 533
35 56 924
32 80 903
40 78 978
51 76 871
12 70 364
73 73 837
24 38 220
74 78 476
25 50 322
79 79 554
35 79 70
30 56 275
28 55 458
69 80 481
9 54 595
67 67 320
32 54 929
80 80 75
51 76 966
59 67 139
69 74 993
15 32 53
45 75 279
58 62 554
21 23 904
19 75 595
17 76 866
40 67 564
50 77 269
40 60 64
72 72 578
80 80 856
15 24 444
47 59 283
33 62 806
30 51 13
76 77 342
14 60 969
38 78 569
76 80 336
48 70 775
63 64 949
3 23 779
74 80 789
2 19 155
33 51 971
24 35 254
25 41 935
20 47 136
12 27 302
38 66 32
18 38 243
80 80 377
13 55 143
17 35 849
41 50 62
29 77 416
1 62 507
72 75 108
48 72 553
49 69 200
21 56 907
75 76 312
50 72 126
54 56 555
71 74 493
57 57 499
40 72 953
52 76 243
63 63 577
43 53 356
34 42 299
54 79 86
29 62 347
51 60 227
72 74 365
14 22 35
26 42 500
48 65 153
17 22 764
73 76 700
21 66 225
78 78 604
77 80 386
74 75 833
64 65 609
6 68 246
17 72 517
28 67 176
45 63 414
52 52 809
49 59 755
75 77 841
36 65 913
36 79 572
77 79 524
16 21 863
64 68 758
64 78 4
10 28 167
39 66 55
17 45 611
26 42 645
30 72 205
15 22 326
23 40 629
45 59 467
59 70 485
12 18 674
49 70 113
48 56 41
55 57 595
47 73 740
68 73 298
73 74 22
18 53 890
9 50 972
75 80 488
37 54 192
12 80 962
42 77 826
13 48 215
1 56 246
56 58 33
55 60 360
70 79 526
58 66 255
8 66 606
41 56 966
34 71 482
67 75 796
49 69 436
16 34 747
58 61 755
80 80 635
32 72 811
31 62 623
63 64 69
54 68 241
28 44 211
21 24 65
22 32 83
56 66 73
69 72 569
3 42 430
44 65 951
29 66 249
57 76 497
58 77 912
27 58 593
67 69 39
44 58 300
36 71 900
54 76 46
36 46 433
39 53 946
6 44 703
74 79 165
32 79 341
45 55 360
66 69 540
65 72 896
16 25 220
13 49 320
25 60 159
75 79 353
23 41 89
66 76 813
18 23 734
33 57 322
26 50 13
73 79 230
29 31 205
77 80 233
7 43 156
43 53 657
72 76 712
54 65 69
2 12 841
5 60 54
73 76 607
66 80 21
31 58 445
56 67 661
36 60 708
24 65 538
38 52 438
57 65 956
69 78 679
9 36 32
65 68 301
15 48 695
40 58 379
44 63 719
75 78 653
74 78 621
54 67 856
21 42 460
11 30 618
77 78 960
28 77 136
66 76 958
25 52 666
44 70 660
53 60 529
46 65 794
59 70 337
49 68 341
32 65 384
16 25 99
20 21 436
10 13 986
74 76 552
38 60 948
31 68 835
60 73 297
36 66 408
11 64 373
18 70 601
50 64 360
19 30 774
36 71 907
64 79 766
57 59 30
18 21 270
66 68 971
29 73 734
52 60 930
56 61 880
10 58 871
60 79 229
75 80 976
5 17 609
65 71 451
15 26 896
28 43 476
67 75 492
7 45 622
51 71 629
17 22 35
17 26 87
63 68 821
70 70 42
16 42 555
3 50 490
75 78 14
67 67 917
5 57 620
10 25 467
38 53 569
16 60 195
3 34 589
20 54 481
15 80 716
47 51 769
79 80 837
77 79 835
26 28 934
14 73 379
43 74 933
49 75 226
1 5 657
51 79 871
79 80 681
78 80 897
69 78 435
35 79 328
7 47 110
57 72 372
42 80 494
37 60 814
2 2 566
10 11 108
48 52 270
39 79 995
63 74 972
58 62 891
47 78 783
27 70 688
60 71 735
7 73 272
36 50 611
44 74 520
26 39 267
16 16 639
39 73 222
45 74 534
80 80 961
27 41 453
51 63 482
5 24 578
26 65 868
27 61 63
25 25 329
79 80 364
15 71 165
47 62 627
10 75 764
28 42 696
58 68 819
53 72 18
34 59 84
12 79 50
67 73 41
4 61 203
60 74 426
27 69 452
54 80 602
66 79 495
26 73 491
66 75 932
63 74 387
78 79 482
16 30 721
75 78 63
51 71 57
9 61 611
28 74 959
77 78 205
13 55 380
69 80 690
12 57 577
64 74 78
42 63 9
40 43 788
64 67 772
2 21 44
53 64 653
34 78 836
1 5 869
78 78 847
44 46 255
72 72 862
20 56 947
32 49 578
62 75 128
19 38 276
79 80 530
72 77 223
40 52 676
21 43 40
58 67 483
9 29 315
16 50 163
59 69 146
4 8 546
2 12 662
36 68 354
27 43 800
4 71 651
57 57 287
43 63 910
72 75 318
10 10 412
68 73 111
34 54 463
43 59 534
56 64 742
25 33 11
41 48 87
34 80 262
23 62 469
37 61 864
25 60 260
24 24 639
68 68 956
63 63 872
73 74 682
7 41 768
20 52 85
60 76 948
73 80 156
54 57 939
73 80 530
71 72 36
56 59 315
24 33 568
38 44 181
63 67 241
36 45 798
38 57 716
73 73 222
2 4 954
57 63 5
70 74 236
39 56 656
52 58 805
10 70 939
61 73 629
19 74 999
44 56 829
19 21 317
16 36 776
19 35 170
54 64 292
6 63 960
38 60 492
38 62 170
59 78 110
70 76 749
17 30 296
48 53 23
37 51 856
49 54 639
25 28 823
76 79 155
9 21 942
78 79 515
76 80 867
55 78 114
30 54 596
25 35 470
78 80 938
7 24 291
52 61 732
26 57 41
61 72 783
9 13 927
56 80 997
74 78 241
23 67 254
11 15 307
22 46 218
10 18 340
75 79 370
26 34 283
24 57 759
3 36 954
62 62 680
43 79 324
12 67 634
23 70 932
9 18 374
1 34 776
43 80 241
78 79 845
10 43 657
51 62 812
79 79 654
70 75 89
43 45 464
76 78 267
11 74 842
13 20 746
35 72 710
72 73 405
70 73 392
50 64 946
76 77 398
16 52 952
38 51 429
49 61 60
77 79 329
43 53 935
60 78 932
21 28 526
20 29 55
34 44 750
32 68 300
62 73 368
26 63 658
73 76 282
30 60 951
9 46 139
53 69 854
1 29 196
62 71 10
17 49 638
66 66 247
2 49 276
64 70 477
6 31 408
42 45 500
30 48 716
2 77 911
49 54 896
26 78 519
18 54 310
51 61 787
45 47 819
70 78 649
56 79 740
52 67 774
57 63 569
60 72 408
61 77 383
77 80 52
6 37 37
14 71 406
72 76 453
9 31 64
54 72 281
79 79 816
62 79 828
72 77 203
28 72 119
66 77 31
73 74 907
48 54 400
79 79 261
78 78 968
57 61 268
61 61 789
67 79 196
28 38 533
72 72 458
35 79 779
18 77 345
41 63 920
65 80 827
10 40 280
51 55 891
18 28 69
1 6 460
53 70 747
73 77 257
37 75 919
16 77 952
36 50 957
58 66 177
57 77 810
57 62 743
39 77 919
43 52 454
13 78 56
80 80 982
66 74 688
69 70 831
11 12 837
59 71 926
23 27 552
13 60 858
10 72 130
23 40 558
76 78 294
14 43 238
18 25 435
18 71 351
17 39 305
68 68 527
48 49 57
70 80 997
34 39 358
27 78 794
40 77 831
31 37 309
70 80 804
22 32 55
59 67 169
10 58 823
32 42 369
64 66 580
52 66 239
63 65 776
59 74 209
8 47 315
65 78 234
45 59 466
18 61 86
14 78 447
47 71 383
23 41 243
44 49 928
24 52 67
39 75 346
14 37 73
61 74 17
17 71 122
54 55 929
4 31 505
15 33 222
7 80 301
56 60 822
7 19 640
29 59 613
2 42 973
18 40 583
64 70 14
44 52 922
50 55 148
49 66 63
10 66 138
39 62 736
50 62 103
53 64 418
79 80 896
18 31 466
58 63 189
18 58 868
69 77 754
30 46 66
27 56 323
50 76 985
45 51 433
44 76 567
53 67 29
30 69 460
26 68 811
75 79 960
27 27 740
44 50 534
50 53 734
60 71 302
15 43 873
74 76 711
58 70 443
72 73 244
50 55 235
8 44 263
42 57 107
27 43 603
15 26 407
36 75 670
71 80 519
11 78 379
66 67 631
77 79 152
58 69 941
31 68 492
16 67 515
4 20 15
49 56 665
40 73 143
41 63 200
25 47 208
7 23 76
65 70 636
