80000 100000
13032 49806 446765
18538 30420 215178
22983 62378 127823
13384 25627 703331
77088 77598 192590
21575 71832 599259
6908 13715 383720
21569 53330 583901
43548 79777 277820
31912 44801 571327
2091 49629 394896
13978 29692 826802
9361 73733 374672
68410 75010 869642
10780 59842 317006
6627 24379 624713
13630 52568 294961
25745 62128 868691
8267 70797 560681
24649 53590 653852
63191 66788 681562
13860 76672 358906
45796 68231 10446
62333 76014 526197
46033 77158 253153
43744 57785 505368
30751 63374 392599
71822 78788 719542
73238 76991 23545
37052 68092 98603
55586 61165 292378
5154 12220 709701
35987 72160 393846
19877 24582 106157
78872 79405 690081
61370 63808 792150
8512 43213 797027
62985 72081 618604
52260 60942 949628
70884 77950 773758
74398 74754 701223
17913 35302 793355
64390 65733 974440
26797 37720 854462
69133 69936 714260
20634 75796 57776
20816 31192 567817
74173 79923 990643
22002 79677 415600
47537 78336 999640
35157 44288 21342
56259 79580 257123
77916 79707 863235
46119 78748 712031
23944 79604 746270
56478 60020 221199
68221 70867 267474
7338 55931 559363
63674 69181 859004
73386 75230 880295
22505 24572 327665
62188 75122 895200
45441 75540 874407
10701 79762 171292
17258 29795 829976
72792 74063 590352
71507 74434 599795
41165 65719 374019
36336 53780 628829
9884 42398 752621
39567 69955 97050
59445 74262 918889
18244 53104 142287
78200 79820 400206
47806 71838 426936
45067 78008 95527
69692 72736 634410
72306 79252 687887
8779 47507 501581
65669 74882 937247
79787 79952 879380
4467 35005 938047
26715 40404 729561
63919 65648 971059
33384 63148 456999
17300 27267 790188
41240 44827 14230
36418 75464 117985
56194 59327 612659
51207 66691 429981
76742 77814 487609
61507 70211 175577
19317 27786 430244
78039 79985 538231
37987 75576 202415
60567 79462 166117
25632 79199 528747
62810 69516 347265
74755 77346 665007
4962 68854 287340
78549 79668 737111
10676 60531 251102
10365 78593 976759
72521 79142 915745
24892 66450 459927
45775 72810 18550
22591 67574 804643
65461 77603 210413
57045 75905 788855
67519 70371 546352
70915 75521 913112
