70000 100
30364 62307 972
31452 37434 232
26203 40964 398
4329 49641 221
47900 57669 731
15700 52526 383
28358 36704 468
67714 68363 699
24337 37261 347
32738 56668 146
64024 65410 112
5950 49302 555
494 68850 460
62584 63122 513
22405 53470 991
8555 65449 808
8437 9763 148
64008 69505 208
27300 35543 414
31459 56031 273
59352 59372 664
18965 26385 667
49137 50129 813
34480 68364 856
66348 68088 808
20174 57755 718
54616 60784 573
67362 68597 413
3506 69493 876
56742 64280 290
43560 45771 725
7612 42217 723
38341 67317 298
34708 44222 633
54661 64567 606
13865 51454 432
68572 68888 800
12529 29123 758
24048 68125 803
59369 60732 856
43934 47526 218
19065 53065 518
28267 55633 770
17521 40327 663
38934 66822 280
19292 38063 938
21182 60235 566
34669 65158 445
17432 55607 966
63756 65074 63
34177 65966 154
18088 60710 914
14705 49471 542
48570 59833 420
43797 62547 610
21625 22082 33
38517 53271 773
37604 52880 432
60841 61732 611
47821 62438 891
64256 69864 595
34358 37745 240
69458 69933 958
38731 55394 220
49523 69827 901
48405 58237 987
20260 22474 219
23072 64247 464
60910 67919 73
54576 69812 321
59149 69225 759
17871 69697 727
12046 22322 374
55595 58620 340
4335 62875 790
48298 52061 992
22479 27997 959
13183 26022 909
43654 51184 293
28857 34913 618
65136 67512 43
149 40949 303
26610 64985 883
24823 43881 682
18115 27197 631
57606 65278 667
63991 67347 2
5062 56731 530
31121 52372 150
48661 65127 112
37141 41459 330
1313 69750 447
34105 51925 683
24061 57901 267
48354 56708 728
582 15987 441
54924 58244 29
45253 59556 193
48344 48496 810
29162 55625 446
