100000 100
64591 69859 15
25838 41909 421
78174 78500 978
27193 90793 879
64077 92177 844
74195 85020 490
62327 92351 396
53737 96101 228
22148 42861 863
98455 98534 691
82113 98312 627
35148 74611 654
6409 9090 717
67436 79768 119
82899 90026 726
29210 82470 284
24028 97234 15
66343 85679 211
74711 97794 966
90798 95820 935
98603 99720 451
61488 87667 852
40028 70769 378
31406 63626 347
61420 64310 589
39983 95185 722
80967 88371 245
31977 32460 74
79875 95940 370
12811 19260 95
62916 85582 883
18725 50200 725
43701 56164 34
62566 62735 389
86558 98777 537
96714 97885 179
9450 15110 738
90610 93256 159
96383 96809 164
80106 87069 790
8471 51473 186
99493 99650 258
88545 97207 250
95028 98259 403
84328 91395 173
83379 98605 783
39474 86815 1
70236 98720 875
63226 64861 747
53457 59103 769
97912 99149 324
16313 23188 314
56013 93396 792
63696 86355 30
39416 69128 958
14033 42441 164
77700 88497 373
81550 83487 207
13515 20396 337
1982 87153 183
73561 98320 444
25845 91864 754
99347 99776 984
73968 97861 668
3663 14288 632
64441 76788 695
36707 62407 653
43544 54299 284
79166 87166 783
54076 54651 940
81579 95322 877
96711 99080 744
4293 15422 129
86430 90247 937
71884 75506 962
44179 56963 554
75146 99618 249
91965 95914 51
91409 97484 933
53133 91334 237
15628 32201 221
65215 65219 707
80597 82056 824
4630 41624 421
18681 59289 259
32017 72247 509
5874 66311 182
97380 98584 124
97728 98906 524
62806 99805 739
11688 38263 712
26849 41189 537
50804 98583 472
96221 98981 63
56096 56250 787
34913 81031 671
30204 52377 34
28999 69751 111
77103 95309 576
70114 84915 128
