90000 100000
73863 88403 825337852
58256 76464 514158366
41196 86561 568670100
4926 35647 308083132
79050 83723 179331406
10590 27695 965067420
62877 89554 808773685
78978 85917 479414814
1607 4064 266366349
803 72195 472975475
9199 52850 996188512
5329 50082 480466046
51651 74607 941814732
30116 33600 34695638
34922 56205 229238789
43562 49629 539141537
53869 66594 945421717
28764 62206 566661049
79832 85222 673824074
63427 85424 882146767
21337 51288 338666027
69921 81552 647008665
86700 88949 881196450
23053 69097 232498022
89335 89505 522255701
30484 77259 935229843
80087 84749 66091971
34590 68363 405267389
7929 89276 813508953
8546 51025 254697525
74213 83840 885079474
67694 89628 560406924
86214 89875 201965062
38509 68202 937736629
27571 40788 952731418
76784 84580 532387315
18838 73682 756580548
54840 81535 487803228
35178 54026 918031925
13972 45813 52225439
9031 51787 721949657
70880 89673 513622924
77084 80159 928498322
81010 89924 91063986
41371 45411 769099041
59232 73578 120273392
65381 86237 607019319
25814 48785 129097192
5959 70141 912003404
41037 64394 247616267
27128 46635 155041626
64053 84725 323927559
72884 80980 916661583
48192 68391 551325704
68313 85086 179627423
42157 60999 92824200
6110 75593 169738668
50448 74668 341230518
31917 50707 73470971
11954 13435 406646318
57505 68794 697656285
15598 42226 404113714
47080 87816 178861219
88520 89183 267749908
61882 67501 525695906
17625 36891 203157661
70642 76075 885643987
54783 60616 274642739
11939 61641 613272324
17234 71279 952414048
88297 88315 924970450
61717 63672 567020864
17309 56179 724071003
75100 80354 625923891
16076 37716 810876194
6817 17433 753862686
44000 75209 949056386
22114 80135 267611563
58299 73857 424280586
13863 41496 406663454
55508 65473 424657655
44378 87357 388213721
47438 50955 750774007
4222 51691 14005894
36341 73802 910071188
45538 85320 175344934
60192 66222 105828908
27631 88050 666432982
65473 75469 880257124
27162 30679 750738656
69939 85427 23554905
36501 71238 963746230
86826 87165 653419805
72525 88673 400241910
40682 63897 989961248
18584 34772 616447362
79481 81006 119760072
52812 55551 339690977
2653 29761 417807337
24559 37300 826983210
1374 33510 174191653
57587 75785 555156104
42001 82471 998130381
8963 56602 888612771
12431 44725 856590655
50528 61169 796621245
37501 87472 690970778
74636 80562 940387786
62201 87031 167396556
88839 89146 669516423
79946 85835 219457176
84265 89874 612428278
61928 81083 126687909
5968 19805 382225073
12607 37313 639819340
38872 65647 51938934
67201 85819 911250277
48195 54698 981489732
43355 85352 729231684
8695 89345 866966381
81236 86998 104822239
14639 79051 666940446
50736 66339 757201200
48167 71433 834353263
76955 77703 720518705
22961 49103 493168317
40570 65300 759002540
87412 87949 485219368
82220 86604 862884704
21540 34744 503523759
11149 68759 58227423
28461 42955 527499526
81782 81930 130604288
25559 72917 932045309
1612 37463 461886088
54594 55663 330311268
38884 84439 980458844
28598 55545 547317483
41870 48148 442857665
15475 45993 60825848
33239 83566 252094257
80266 87021 454542079
7918 25381 69387046
40497 76429 952188622
61678 73092 664467710
