20 100000
9 15 464
7 16 630
16 16 643
13 18 896
19 20 216
3 4 267
17 20 520
1 2 699
16 17 148
9 17 119
5 11 945
1 16 431
16 20 197
7 14 789
3 3 314
18 20 952
6 6 357
17 18 319
18 18 146
6 11 216
3 11 15
17 18 224
5 8 94
8 12 881
16 18 996
20 20 242
3 12 7
16 20 86
10 19 34
2 16 803
10 10 203
12 17 198
16 17 921
13 16 638
19 20 920
8 17 380
2 4 472
6 9 700
18 18 843
20 20 927
14 18 136
20 20 260
5 19 354
12 15 825
12 18 128
5 13 80
6 18 657
6 17 414
2 5 980
16 19 788
8 10 211
18 18 743
16 19 353
13 13 909
1 19 4
20 20 833
8 10 200
7 14 200
16 17 567
20 20 369
18 18 380
17 19 425
14 16 417
20 20 865
17 20 588
1 14 163
20 20 109
4 7 158
5 11 167
1 10 917
12 15 862
20 20 607
19 19 720
9 11 761
17 17 503
16 17 544
13 15 911
5 20 196
15 20 192
19 19 349
13 16 422
20 20 749
11 19 968
5 10 808
6 15 953
20 20 281
12 20 202
18 18 984
3 11 757
4 17 351
19 19 361
7 7 277
14 19 198
7 9 891
8 19 360
2 6 271
10 19 924
20 20 255
12 19 932
18 18 599
4 15 518
7 10 907
9 16 674
17 17 178
12 20 851
5 18 75
10 16 734
7 15 554
20 20 701
13 18 646
14 17 538
7 7 80
18 19 58
18 18 451
10 16 122
14 18 831
7 9 77
5 9 173
17 20 625
11 14 685
9 20 815
3 4 859
2 19 193
20 20 625
3 6 579
11 20 385
10 20 495
13 16 562
10 16 406
3 20 717
15 17 702
16 16 594
19 20 478
8 14 242
16 19 135
15 20 30
9 11 499
7 10 100
7 8 729
16 19 75
3 5 569
17 17 229
13 18 365
13 19 925
8 15 837
11 15 588
20 20 673
14 17 729
10 14 969
1 3 123
20 20 675
6 17 124
2 7 589
14 17 715
2 7 630
4 6 611
10 11 681
12 13 424
3 7 889
4 19 583
3 20 805
4 17 64
14 20 370
19 19 581
6 17 395
4 5 280
15 15 447
12 20 944
9 15 564
10 13 423
12 16 92
6 12 920
19 20 951
18 19 370
14 15 882
13 15 554
12 13 154
11 16 80
5 14 319
17 19 712
15 19 260
1 6 944
5 12 384
7 11 60
16 18 335
17 20 929
19 20 628
11 15 222
20 20 57
8 9 122
10 16 354
7 7 935
13 15 568
13 14 772
20 20 661
7 8 882
16 16 394
17 17 851
11 17 751
4 4 362
1 2 482
2 4 221
16 17 958
11 18 481
13 15 27
15 19 415
8 9 897
5 16 561
13 15 125
17 19 912
12 19 22
5 14 671
12 16 144
13 20 377
18 20 252
13 18 538
5 16 585
18 18 452
18 18 490
20 20 367
5 18 590
17 17 877
10 14 782
13 17 680
10 14 812
4 6 165
18 19 119
4 19 33
10 20 448
19 20 958
18 20 140
20 20 97
12 20 279
12 17 258
1 5 948
2 8 694
3 7 719
18 20 159
15 15 826
9 9 352
14 16 559
8 13 511
8 17 605
16 17 624
17 17 255
15 17 848
9 9 988
13 13 381
13 19 800
11 13 684
19 19 498
9 18 845
20 20 149
18 19 307
6 16 775
18 19 365
20 20 768
18 20 281
1 7 674
11 15 641
12 15 814
16 20 966
13 20 755
5 14 550
15 20 729
20 20 821
8 8 485
1 10 268
12 13 125
1 8 332
5 8 170
17 19 433
5 18 628
5 19 415
15 18 320
13 15 242
9 18 91
13 20 721
18 20 509
11 19 79
2 18 746
12 13 576
16 18 898
14 20 858
12 18 462
13 20 954
16 16 723
20 20 302
19 19 303
1 10 513
9 13 232
13 18 791
16 18 753
15 15 614
13 18 791
5 20 660
20 20 721
1 11 913
17 18 119
13 16 924
11 14 946
16 17 2
19 20 673
5 20 538
11 15 682
16 18 677
18 20 885
15 17 670
9 20 461
17 17 365
6 19 189
19 20 392
18 18 2
6 12 818
14 19 592
3 12 595
14 15 27
2 12 349
8 10 246
6 7 417
10 15 626
6 14 248
