80000 100
58380 76851 576
36691 57758 700
53618 71162 403
64384 74127 750
62136 67860 552
7014 31829 937
14489 24862 683
2010 59771 441
67563 79664 41
1600 42326 890
51266 57331 13
5811 30751 588
51336 73894 961
9572 9774 886
59830 68061 19
21103 39551 395
9907 72292 639
74074 76421 121
48803 58034 860
18469 25078 194
36043 55635 758
459 58218 169
47875 53300 959
757 61991 364
33984 78977 133
65172 78620 40
33420 78726 707
18377 39791 898
8768 26671 788
26790 71762 851
73568 75276 132
11928 38220 278
55086 74443 716
71579 78238 26
67231 69650 78
74743 75309 31
20443 24359 238
46443 78065 489
52155 66458 359
39984 77945 867
46251 79931 733
45741 71361 15
44209 49453 89
76118 77030 881
50973 66165 509
20076 78273 808
79826 79890 321
37203 66572 827
13988 44750 600
31663 71415 92
12223 20745 364
58700 59408 860
48511 57226 66
76013 77252 292
20475 77502 325
23675 78832 381
63376 72997 446
62207 74784 774
35616 41320 267
58631 69824 114
11390 78878 628
21112 79881 729
40000 42401 732
16984 68237 339
25282 33245 621
59369 68073 570
20443 69208 519
31827 50699 652
37064 67813 70
60058 65970 588
55598 56313 605
28146 50708 146
2669 34792 934
72315 79323 545
23970 67251 96
38937 40978 640
21465 38437 808
19787 34124 949
56452 67055 261
30584 30834 41
59140 79170 481
22988 47656 23
56978 58260 406
56274 66612 911
35204 65282 397
21248 61590 161
73758 73912 524
7740 54022 233
79762 79816 152
30807 69574 806
17358 38850 324
24435 30455 864
73739 73821 503
76617 79425 470
75523 78782 454
25067 63232 227
27442 62332 529
68922 69558 772
41829 42940 358
79286 79820 96
